restart,phase,trial,cot,freq,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,1,98,1.484959,1.675000,0.126218,0.084149,0.115000,0.028147,0.063398,0.010119,0.057784,0.127483,0.089896,0.024362,-0.039399,0.007722
1,1,99,1.037132,1.675000,0.144832,0.093130,0.113775,0.034748,0.062089,0.012515,0.072881,0.119000,0.114670,0.019277,-0.055206,-0.007410
1,1,100,10.000000,1.675000,0.148872,0.081120,0.085000,0.030581,0.054956,-0.013541,0.075000,0.119000,0.095286,0.030966,-0.035789,-0.004729
1,1,101,1.869631,1.675000,0.161000,0.082470,0.111361,0.028275,0.065000,0.010814,0.072888,0.119000,0.106147,0.018238,-0.052051,0.015000
1,1,102,1.779913,1.675000,0.161000,0.072109,0.112180,0.035000,0.059611,-0.008354,0.063116,0.124208,0.111713,0.017860,-0.060155,0.001002
1,1,103,2.305372,1.675000,0.119000,0.095000,0.092640,0.035000,0.040260,-0.015000,0.062025,0.119000,0.085000,0.005879,-0.057254,0.015000
1,1,104,2.041334,1.675000,0.125698,0.095000,0.101848,0.035000,0.063516,0.015000,0.056277,0.119000,0.103962,0.007533,-0.043780,0.006674
1,1,105,1.366548,1.675000,0.126591,0.087658,0.115000,0.027440,0.065000,0.015000,0.045000,0.119000,0.111600,0.026169,-0.065000,0.000045
1,1,106,2.329285,1.675000,0.161000,0.072826,0.106950,0.035000,0.064128,-0.003793,0.070895,0.125492,0.109459,0.017749,-0.040569,0.009670
1,1,107,5.921611,1.675000,0.153726,0.095000,0.108546,0.012043,0.055597,-0.003076,0.072078,0.119000,0.111076,0.005020,-0.063245,-0.014418
1,1,108,1.268940,1.675000,0.161000,0.086443,0.105867,0.022077,0.065000,0.015000,0.075000,0.123697,0.085000,0.035000,-0.065000,-0.015000
1,1,109,1.661646,1.675000,0.155430,0.085927,0.108257,0.035000,0.038874,0.015000,0.070465,0.119000,0.085000,0.005000,-0.065000,-0.001019
1,1,110,1.095172,1.675000,0.123578,0.086565,0.109204,0.034317,0.046507,0.015000,0.075000,0.131542,0.112486,0.016821,-0.065000,-0.011450
1,1,111,1.497332,1.675000,0.145353,0.090688,0.107150,0.035000,0.041668,0.007496,0.069378,0.126053,0.090876,0.009598,-0.056921,0.011279
1,1,112,2.336531,1.675000,0.121627,0.085355,0.105729,0.023561,0.035000,0.005805,0.046897,0.119000,0.085000,0.030888,-0.063243,-0.012902
1,1,113,0.940143,1.675000,0.142823,0.095000,0.115000,0.035000,0.046025,0.008161,0.075000,0.132029,0.115000,0.019669,-0.065000,-0.015000
1,1,114,0.722707,1.675000,0.143030,0.085566,0.115000,0.035000,0.049601,0.015000,0.071488,0.133731,0.115000,0.021944,-0.065000,-0.009669
1,1,115,0.707722,1.675000,0.119000,0.089962,0.115000,0.035000,0.062399,0.002421,0.052592,0.119000,0.115000,0.015185,-0.065000,-0.013855
1,1,116,3.014623,1.675000,0.129812,0.088974,0.085000,0.035000,0.059716,-0.015000,0.045561,0.119000,0.115000,0.005000,-0.065000,0.002889
1,1,117,1.623913,1.675000,0.143724,0.087968,0.100227,0.022408,0.052235,0.015000,0.046704,0.119158,0.085000,0.035000,-0.035069,-0.010243
1,1,118,1.858071,1.675000,0.156705,0.095000,0.115000,0.006275,0.065000,0.015000,0.075000,0.119000,0.085000,0.035000,-0.065000,-0.010166
1,1,119,0.914906,1.675000,0.133163,0.085187,0.115000,0.035000,0.050438,0.007716,0.062386,0.132398,0.115000,0.019023,-0.060154,-0.003237
1,1,120,4.051780,1.675000,0.120647,0.065000,0.115000,0.028574,0.065000,-0.006357,0.051973,0.119000,0.107197,0.005000,-0.043097,0.006237
1,1,121,2.033057,1.675000,0.144315,0.085509,0.104531,0.032075,0.045738,0.010128,0.059963,0.121627,0.097605,0.013294,-0.065000,0.002554
1,1,122,1.914674,1.675000,0.132241,0.079178,0.110046,0.035000,0.065000,0.015000,0.075000,0.131874,0.085000,0.028039,-0.065000,0.010486
1,1,123,1.727713,1.675000,0.160318,0.095000,0.115000,0.022939,0.064827,0.015000,0.075000,0.119000,0.105045,0.028679,-0.065000,0.009173
1,1,124,10.000000,1.675000,0.146207,0.072826,0.101780,0.035000,0.038290,0.006966,0.059848,0.141927,0.085000,0.005000,-0.065000,-0.009091
1,1,125,1.353666,1.675000,0.161000,0.081826,0.115000,0.035000,0.065000,0.005749,0.075000,0.119000,0.085000,0.005000,-0.049826,0.015000
1,1,126,2.539139,1.675000,0.127349,0.092033,0.093152,0.035000,0.059722,0.005081,0.045000,0.121123,0.114505,0.025310,-0.052807,-0.001161
1,1,127,1.304845,1.675000,0.161000,0.094013,0.115000,0.027520,0.063819,0.015000,0.056913,0.126153,0.110880,0.025228,-0.059044,-0.015000
1,1,128,1.576060,1.675000,0.136087,0.088352,0.085000,0.035000,0.035000,-0.001225,0.070396,0.124027,0.115000,0.005000,-0.065000,0.015000
1,1,129,1.595878,1.675000,0.161000,0.090388,0.115000,0.035000,0.043980,0.015000,0.075000,0.136861,0.112400,0.019093,-0.065000,0.015000
1,1,130,1.194370,1.675000,0.161000,0.084997,0.103547,0.024761,0.035000,0.015000,0.075000,0.128058,0.115000,0.005000,-0.055547,-0.006796
1,1,131,0.575062,1.675000,0.161000,0.083367,0.115000,0.035000,0.065000,0.008725,0.045000,0.130380,0.115000,0.015630,-0.065000,-0.012289
1,1,132,2.987544,1.675000,0.130815,0.095000,0.085000,0.028841,0.065000,0.003686,0.075000,0.119000,0.111197,0.005000,-0.052954,-0.015000
1,1,133,0.858871,1.675000,0.144550,0.095000,0.115000,0.035000,0.044711,0.015000,0.052555,0.120380,0.115000,0.035000,-0.065000,-0.015000
1,1,134,41.046241,1.675000,0.137085,0.095000,0.115000,0.005000,0.043203,0.015000,0.068382,0.138967,0.100795,0.035000,-0.064885,-0.015000
1,1,135,1.428337,1.675000,0.132290,0.095000,0.115000,0.035000,0.065000,0.015000,0.045000,0.161000,0.115000,0.035000,-0.065000,0.015000
1,1,136,1.945487,1.675000,0.142459,0.095000,0.104080,0.031663,0.059262,0.015000,0.045000,0.128620,0.115000,0.005000,-0.065000,0.015000
1,1,137,10.000000,1.675000,0.145096,0.065000,0.103593,0.020527,0.062873,0.015000,0.045000,0.161000,0.085505,0.034605,-0.057665,0.015000
1,1,138,2.176513,1.675000,0.134876,0.095000,0.099641,0.031887,0.046997,0.015000,0.060078,0.161000,0.115000,0.020864,-0.065000,0.015000
1,1,139,1.681102,1.675000,0.132605,0.078856,0.115000,0.029223,0.065000,0.015000,0.045000,0.136557,0.115000,0.022036,-0.065000,0.015000
1,1,140,10.000000,1.675000,0.135885,0.065000,0.095413,0.014644,0.052009,0.015000,0.045000,0.119000,0.085000,0.035000,-0.065000,0.015000
1,1,141,1.377251,1.675000,0.125595,0.065000,0.115000,0.021664,0.065000,0.015000,0.075000,0.119000,0.115000,0.005000,-0.035532,0.002897
1,1,142,2.021061,1.675000,0.155660,0.078386,0.115000,0.031390,0.065000,-0.004249,0.066779,0.129651,0.089132,0.005000,-0.050445,0.003592
1,1,143,1.160384,1.675000,0.129138,0.093979,0.115000,0.035000,0.065000,0.015000,0.045000,0.146600,0.115000,0.028387,-0.065000,0.015000
1,1,144,10.000000,1.675000,0.124915,0.078875,0.091149,0.007428,0.051523,0.015000,0.045000,0.119000,0.093546,0.035000,-0.046796,0.015000
1,1,145,2.411190,1.675000,0.155696,0.095000,0.115000,0.032457,0.047219,-0.015000,0.075000,0.129461,0.115000,0.005000,-0.065000,0.015000
1,1,146,0.780108,1.675000,0.132507,0.082742,0.115000,0.021271,0.065000,0.015000,0.075000,0.119000,0.115000,0.006987,-0.044496,-0.015000
1,1,147,4.283107,1.675000,0.157802,0.095000,0.113718,0.034084,0.052167,-0.015000,0.045000,0.157174,0.111342,0.006088,-0.052054,0.015000
1,1,148,4.654179,1.675000,0.139761,0.095000,0.111373,0.007301,0.044754,0.015000,0.048744,0.119000,0.112333,0.030793,-0.039207,-0.015000
1,1,149,10.000000,1.675000,0.135076,0.065000,0.098820,0.010783,0.063965,0.015000,0.045000,0.135062,0.085000,0.009314,-0.044293,-0.015000
1,1,150,10.000000,1.675000,0.161000,0.095000,0.085000,0.024573,0.065000,0.015000,0.045000,0.126626,0.102911,0.005000,-0.045156,0.015000
1,1,151,0.547642,1.675000,0.137607,0.086197,0.115000,0.035000,0.065000,0.015000,0.059390,0.126973,0.115000,0.005000,-0.061212,-0.015000
1,1,152,10.000000,1.675000,0.161000,0.065000,0.104015,0.008764,0.065000,0.015000,0.075000,0.119000,0.115000,0.005000,-0.065000,-0.004926
1,1,153,10.000000,1.675000,0.139162,0.065000,0.094830,0.025008,0.053457,-0.000296,0.075000,0.126466,0.115000,0.005000,-0.055548,-0.015000
1,1,154,1.185324,1.675000,0.140849,0.095000,0.105406,0.035000,0.065000,0.015000,0.045000,0.145744,0.115000,0.005000,-0.065000,0.001749
1,1,155,2.027736,1.675000,0.160395,0.095000,0.110990,0.025951,0.044196,0.015000,0.049803,0.141033,0.115000,0.005000,-0.065000,0.013702
1,1,156,1.265853,1.675000,0.140174,0.078978,0.110039,0.030060,0.046967,0.002346,0.074913,0.126523,0.115000,0.008445,-0.065000,-0.015000
1,1,157,1.600328,1.675000,0.161000,0.082281,0.106098,0.030645,0.065000,0.015000,0.058961,0.131784,0.115000,0.022851,-0.045841,-0.004515
1,1,158,2.150814,1.675000,0.155186,0.093883,0.092585,0.035000,0.044632,-0.015000,0.070394,0.125595,0.115000,0.005000,-0.065000,-0.004299
1,1,159,1.101750,1.675000,0.125822,0.076726,0.115000,0.035000,0.065000,0.015000,0.075000,0.119000,0.093238,0.008701,-0.065000,0.015000
1,1,160,1.364639,1.675000,0.142873,0.086941,0.114220,0.024809,0.043461,0.015000,0.075000,0.137307,0.115000,0.005000,-0.065000,0.002762
1,1,161,2.966170,1.675000,0.161000,0.095000,0.085000,0.035000,0.065000,0.015000,0.045000,0.161000,0.115000,0.005000,-0.065000,0.015000
1,1,162,10.000000,1.675000,0.119000,0.065000,0.085000,0.005000,0.065000,-0.015000,0.045000,0.161000,0.115000,0.005000,-0.035000,0.015000
1,1,163,2.659227,1.675000,0.136603,0.084973,0.106914,0.032091,0.064383,0.015000,0.045000,0.141340,0.115000,0.005000,-0.065000,0.015000
1,1,164,1.155490,1.675000,0.126356,0.093891,0.115000,0.026301,0.043178,0.015000,0.075000,0.119000,0.097301,0.005000,-0.065000,-0.015000
1,1,165,1.366700,1.675000,0.161000,0.080256,0.115000,0.024065,0.065000,0.015000,0.075000,0.138005,0.103861,0.006797,-0.065000,0.010057
1,1,166,1.795071,1.675000,0.124439,0.095000,0.087540,0.027814,0.035143,0.015000,0.075000,0.119000,0.115000,0.032235,-0.065000,0.015000
1,1,167,2.152583,1.675000,0.161000,0.090349,0.108781,0.035000,0.050248,0.015000,0.045000,0.152653,0.113455,0.018481,-0.065000,0.015000
1,1,168,2.081052,1.675000,0.138855,0.080537,0.115000,0.017990,0.065000,0.015000,0.075000,0.119167,0.115000,0.024055,-0.035000,0.013445
1,1,169,1.213957,1.675000,0.161000,0.076438,0.115000,0.022650,0.059578,0.015000,0.074930,0.121459,0.100924,0.005000,-0.065000,0.011879
1,1,170,4.929493,1.675000,0.120221,0.069484,0.115000,0.035000,0.065000,0.015000,0.074286,0.161000,0.115000,0.035000,-0.065000,0.015000
1,1,171,2.872438,1.675000,0.161000,0.095000,0.115000,0.017310,0.065000,-0.015000,0.068521,0.161000,0.111950,0.005369,-0.065000,0.015000
1,1,172,2.210183,1.675000,0.144348,0.095000,0.099688,0.011157,0.065000,0.015000,0.052832,0.119000,0.085000,0.015027,-0.035000,-0.015000
1,1,173,0.935690,1.675000,0.161000,0.079483,0.115000,0.023974,0.063148,0.015000,0.071902,0.119000,0.092098,0.024961,-0.035000,-0.015000
1,1,174,2.112376,1.675000,0.146362,0.086264,0.100756,0.029654,0.060701,-0.005241,0.052618,0.128414,0.115000,0.005000,-0.045851,0.015000
1,1,175,3.374937,1.675000,0.161000,0.095000,0.114575,0.012606,0.048216,0.015000,0.045000,0.119000,0.115000,0.009622,-0.065000,0.015000
1,1,176,1.434741,1.675000,0.151700,0.095000,0.115000,0.030198,0.065000,0.002790,0.075000,0.142456,0.115000,0.005000,-0.065000,0.007567
