phase,trial,cot,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
2,87,10.000000,2.780733,0.366418,0.204161,0.041494,0.137547,0.057146,0.042734,0.007236,0.013009,0.076817,0.125570,0.068532,-0.032125,-0.049529
2,88,10.000000,1.000000,0.200000,0.070000,0.130000,0.050000,0.090000,0.100000,0.000000,0.010000,0.070000,0.030000,0.070000,0.000000,0.050000
2,89,10.000000,2.851117,0.399982,0.076848,0.040057,0.055164,-0.004739,0.003710,0.094079,0.090137,0.183607,0.035828,-0.025780,-0.008901,0.037700
2,90,10.000000,2.860252,0.645935,0.083476,0.031161,0.068978,0.012400,0.095716,0.004939,0.105654,0.202975,0.034003,0.059975,-0.076959,-0.034815
2,91,10.000000,1.085349,0.209500,0.192469,0.041386,0.084021,0.078771,0.013416,0.001398,0.105725,0.104538,0.105871,-0.018155,-0.097929,-0.048309
2,92,10.000000,1.172226,0.200840,0.073502,0.054259,0.112632,-0.008773,0.099914,0.099985,0.054941,0.099865,0.113382,-0.024174,-0.000835,-0.032653
2,93,10.000000,1.000000,0.200000,0.210000,0.030000,0.150000,-0.010000,0.100000,0.000000,0.110000,0.210000,0.030000,0.070000,-0.100000,0.050000
2,94,10.000000,1.000000,0.200000,0.070000,0.130000,0.150000,0.090000,0.000000,0.100000,0.010000,0.070000,0.030000,0.070000,-0.100000,-0.050000
2,95,10.000000,1.000000,0.800000,0.210000,0.030000,0.050000,0.090000,0.000000,0.100000,0.110000,0.210000,0.030000,0.070000,0.000000,-0.050000
2,96,10.000000,2.868898,0.204768,0.197328,0.031836,0.149372,0.029248,0.018242,0.000969,0.013156,0.104279,0.118134,0.040626,-0.001973,0.045325
2,97,10.000000,1.000000,0.800000,0.210000,0.130000,0.050000,-0.010000,0.000000,0.000000,0.010000,0.210000,0.030000,-0.030000,-0.100000,0.050000
2,98,10.000000,2.925000,0.800000,0.210000,0.030000,0.150000,0.090000,0.100000,0.000000,0.010000,0.210000,0.030000,-0.030000,-0.100000,0.050000
2,99,10.000000,2.593692,0.722788,0.110316,0.036284,0.051308,-0.005216,0.003043,0.039080,0.010440,0.073745,0.128378,0.062291,-0.079710,0.026661
2,100,10.000000,1.463105,0.740926,0.075557,0.121370,0.137233,0.087622,0.002346,0.075306,0.095027,0.071187,0.068491,-0.021687,-0.003917,0.022808
